guid	lesson	seq	speaker	en	te	te_src	rom	legacy	keys	flags
Ic1b77416758c	63	1			ప్రపంచంలోని కొన్ని	ocr		{ç³ç³…^èþ…ÌZ° Mö°²	0:404.1	prose no-en no-rom
I239b86baa609	63	2			వింతలు	ocr		Ñ…™èþË$	0:434.0	prose no-en no-rom
Ie7fd19100355	63	3			ఏడు పొయ్యిలు	ocr		Hyæþ$ ´÷Æÿ$$ÅË$	1:162.3	prose no-en no-rom
Ie97faf28f671	63	4			'జపానుకు చెందిన గంకై సముద్ర తీరాన, కొండల శ్రేణిలో సముద్రం తొలిచిన	ocr		f´ë¯èþ$Mæü$ ^ðþ…¨¯èþ Væü…MðüO çÜÐèþ$${§æþ ¡Æ>¯èþ, Mö…yæþË {Ôóý×ìýÌZ çÜÐèþ$${§æþ… ™öÍ_¯èþ	1:204.8	prose no-en no-rom
Idf13d4f9039c	63	5			ఏడు గుహలు ఉన్నాయి. “ననత్సుగమి అని వీటికి పేరు. అంటే ఏడు పాయ్యిలు	ocr		"Hyæþ$ Væü$çßýË$ E¯é²Æÿ$$.  ""¯èþ¯èþ™èþ$ÞVæüÐèþ$' A° ÒsìýMìü õ³Ææÿ$.  A…sôý Hyæþ$ ´÷Æÿ$$ÅË$"	1:221.3	prose no-en no-rom
I891c86a607e6	63	6			అని అర్థం. సముద్రం పోటులో ఉన్నప్పుడు పడవల- వాళ్ళు యాత్రికులను ఈ గుహల	ocr		A° AÆæÿ¦….  çÜÐèþ$${§æþ… ´ùr$ÌZ E¯èþ²ç³šyæþ$ ç³yæþÐèþË& Ðéâæý$å  Äæý*{†Mæü$Ë¯èþ$ D Væü$çßýË	1:237.9	prose no-en no-rom
I8633b04f5420	63	7		OVERALL	లోపలికి తీసుకుపోతారు.. వీటికి 'సహజ సృృతి చిహ్నాల” హోదా ఇవ్వబడింది. ఈ	ocr		"ÌZç³ÍMìü ¡çÜ$Mæü$´ù™éÆæÿ$.  ÒsìýMìü ""çÜçßýf çÜÃ-–† _à²Ë' çßZ§é CÐèþÓºyìþ…¨.  D"	1:254.5	prose no-rom
Ic473575f8364	63	8		REVIEW 3	ప్రాంతానికి రావాలంటే కరత్సు నుంచి నేల మార్గాన బస్సులో రావటానికి అరగంట	ocr		{´ë…™é°Mìü Æ>ÐéË…sôý MæüÆæÿ™èþ$Þ ¯èþ$…_ ¯óþË Ðèþ*Æ>Y¯èþ ºçÜ$ÞÌZ Æ>Ðèþsê°Mìü AÆæÿVæü…r	1:271.1	prose no-rom
I1d667c9754ea	63	9			పడ్తుందట.	ocr		ç³yæþ$¢…§æþr.	1:287.6	prose no-en no-rom
I239b86baa609	63	10			చందమామ మే, 1976.	ocr		^èþ…§æþÐèþ*Ðèþ$	1:316.1	prose no-en no-rom ocr-suspect
I239b86baa609	63	11						Ðóþ$, 1976.	1:320.8	prose no-en no-rom no-te
I51051394f293	63	12			తొలి వైమానికుల గౌరవచిహ్నం	ocr		™öÍ ÐðþOÐèþ*°Mæü$Ë VúÆæÿÐèþ_çßý²…	2:163.4	prose no-en no-rom
Ie1cf4687056e	63	13			1903 డిసెంబరు 17న ఉత్తర కారొలైనా రాష్ట్రంలోని ఈ ప్రాంతం నుంచి విల్చర్‌	ocr		1903 yìþòÜ…ºÆæÿ$ 17¯èþ E™èþ¢Ææÿ M>ÆöÌñýO¯é Æ>çÙ‰…ÌZ° D {´ë…™èþ… ¯èþ$…_ ÑË¾ÆŠÿ	2:205.9	prose no-en no-rom ocr-suspect
Ia690ab802c9a	63	14			రైట్స్‌ ఆర్విల్‌ రైట్‌ సోదరులు మొట్టమొదట విమానంలో ఎగిరారు. వారి గౌరవార్థం ఈ	ocr		ÆðÿOsŒý, BÇÓÌŒý ÆðÿOsŒý Ýù§æþÆæÿ$Ë$ Ððþ$$rtÐðþ$$§æþr ÑÐèþ*¯èþ…ÌZ GWÆ>Ææÿ$.  ÐéÇ VúÆæÿÐéÆæÿ¦… D	2:222.4	prose no-en no-rom
I30c5bc506b98	63	15			శిల్పం ఏర్పాటు చెయ్యబడింది.	ocr		ÕËµ… HÆ>µr$ ^ðþÄæý$Åºyìþ…¨.	2:239.0	prose no-en no-rom
Ic473575f8364	63	16		REVIEW 3	'పందమాయ జనవరి, 1976.	ocr		^èþ…§æþÐèþ*Ðèþ$	2:267.5	prose no-rom ocr-suspect
Ic473575f8364	63	17		REVIEW 3				f¯èþÐèþÇ, 1976.	2:272.2	prose no-rom no-te
I4010adefefd5	63	18			సరికొత్త అగ్ని పర్వతాలు	ocr		çÜÇMö™èþ¢ AW² ç³ÆæÿÓ™éË$	3:162.1	prose no-en no-rom
I50b845d41829	63	19			కళ్ళ ఎదట సరికొత్త అగ్ని పర్వతాలు పుట్టటం చాలా అరుదు. ఈ శతాబ్దంలో	ocr		Mæüâæýå G§æþr çÜÇMö™èþ¢ AW² ç³ÆæÿÓ™éË$ ç³#rtr… ^éÌê AÆæÿ$§æþ$.  D Ôèý™éºª…ÌZ	3:204.5	prose no-en no-rom
Ie8b9a9d6bb16	63	20			అలాంటి అగ్ని పర్వతం 1944లో మెక్సికోలో పుట్టింది. కిందటి ఏడు రష్యాలోని	ocr		AÌê…sìý AW² ç³ÆæÿÓ™èþ… 1944ÌZ Ððþ$MìüÞMøÌZ ç³#sìýt…¨.  Mìü…§æþsìý Hyæþ$ ÆæÿÚëÅÌZ°	3:221.1	prose no-en no-rom ocr-suspect
I9b2c4a5a3711	63	21			కామ్బాత్సా ద్వీపకల్పంలో అనేక అగ్ని పర్వతాలు ఒకే సారి పుట్టాయి. ఈ సారి విశేషం	ocr		M>Ðèþ*a™éP ©Óç³MæüËµ…ÌZ A¯óþMæü AW² ç³ÆæÿÓ™éË$ JMóü ÝëÇ ç³#sêtÆÿ$$.  D ÝëÇ ÑÔóýçÙ…	3:237.7	prose no-en no-rom
I8633b04f5420	63	22		OVERALL	ఏమంటే శాస్త్రవేత్తలు అవి ఎక్కడ ఎప్పుడు పుడ్తాయో రెండు వారాలు ముందుగా	ocr		HÐèþ$…sôý ÔéçÜˆÐóþ™èþ¢Ë$ AÑ GMæüPyæþ Gç³šyæþ$ ç³#yé¢Äñý* Æðÿ…yæþ$ ÐéÆ>Ë$ Ðèþ$$…§æþ$V>	3:254.3	prose no-rom
Ic473575f8364	63	23		REVIEW 3	తెలుసుకుని, వాటి పుట్టుక గమనించటానికి కెమేరాలతో సహా సిద్ధంగా ఉన్నారు.	ocr		™ðþË$çÜ$Mæü$°, Ðésìý ç³#r$tMæü VæüÐèþ$°…^èþsê°Mìü MðüÐóþ$Æ>Ë™ø çÜà íÜ§æþ®…V> E¯é²Ææÿ$.	3:270.8	prose no-rom
I239b86baa609	63	24			బందా ఏప్రిల్‌ 1976.	ocr		^èþ…§æþÐèþ*Ðèþ$	3:299.3	prose no-en no-rom ocr-suspect
I59ddc6ad9dfd	63	25						H{í³ÌŒý, 1976.	3:304.0	prose no-en no-rom no-te
